,Name,brand,ratings,volume_price
949,클래식 핸드크림 딥 모이스처,비욘드,4.35,"100ml / 12,000원"
950,센서티브 핸드 리페어 & 케어 크림,오이보스,4.42,"75ml / 19,000원"
951,카밀 핸드크림 튜브,허바신,4.32,"75ml / 10,000원"
952,핸드 앤 네일 크림 인텐시브 플러스,카밀,4.4,"50ml / 6,200원"
953,아이깨끗해 항균 폼 핸드솝 [레몬향],라이온,4.38,"250ml / 3,200원"
954,핸드크림 [쏘 희],온호프,4.34,"50ml / 15,000원"
955,핸드 릴리프™,아베다,4.38,"125ml / 40,000원"
956,핸드워시 [만다린망고],메소드,4.45,"354ml / 4,900원"
957,우타카밀 소프트 핸드크림,허바신,4.35,"75ml / 10,000원"
958,티 룸 핸드크림 [플라워티],브링그린,4.31,"30ml / 3,800원"
959,시어 인텐시브 핸드 밤,록시땅,4.32,"150ml / 39,000원"
960,발을씻자 코튼풋샴푸 [프레쉬 레몬 민트],온더바디,4.65,"385ml / 9,900원"
961,발을씻자 코튼풋샴푸 [프레쉬 자몽 민트],온더바디,4.69,"385ml / 9,900원"
962,인텐스 리페어 풋크림,뉴트로지나,4.44,"56g / 8,900원"
963,실버 액티브 풋 데오드란트,한자플라스트,4.38,"150ml / 12,000원"
964,시어 버터 풋 크림,록시땅,4.32,"150ml / 39,000원"
965,풋크림 프리미엄,비단발,4.85,"100ml / 20,000원"
966,로얄젤리 풋 크림,코지화이트,4.51,"100ml / 25,000원"
967,풋 케어 크림,히말라야,4.17,"75g / 9,900원"
968,후레쉬 액티브 풋 데오드란트,한자플라스트,4.26,"150ml / 12,000원"
969,샤이니 풋 슈퍼 필링 리퀴드,토니모리,4.12,"25ml*2 / 8,800원"
970,발샴푸,티타니아,4.11,"300ml / 17,000원"
971,얼음샷 발샴푸,몽블리,3.95,"200ml / 8,600원"
972,우레아9.8 풋 크림,더마비,4.47,"50ml / 8,000원"
973,고운발 크림,웰빙헬스팜,4.81,"110g / 12,000원"
974,풋 릴리프™,아베다,4.52,"125ml / 40,000원"
975,샌드풋파일,티타니아,4.41,"1p / 6,000원"
976,아기발 메이커,몽블리,4.06,"1ea / 12,900원"
977,파라핀 풋마스크,메디힐,4.61,"1p / 3,000원"
978,발을씻자 코튼풋샴푸 [쿨링],온더바디,4.21,"385ml / 9,900원"
979,수안수 실크스킨 풋크림 [레몬 민트],에네스티,4.39,"100g / 7,000원"
980,더 컴포터,러쉬,4.59,"200g / 18,000원"
981,솔티 허니 바디 스크럽,솔테라피,4.6,"250g / 25,000원"
982,오곡 때비누,무궁화,4.61,"100g / 1,000원"
983,스킨유 락토크림 버블워시 [머스크 라벤더],해피바스,4.58,"600ml / 18,900원"
984,유노하나 파우더,유노하나,4.63,"60g / 7,000원"
985,로즈티 바디 스크럽,사봉,4.58,"600g / 63,000원"
986,바디 밸런스 스크럽,플루,4.45,"180g / 20,000원"
987,토탈 리커버리 샤워크림,비욘드,4.44,"250ml / 13,500원"
988,더 올리브 브랜치,러쉬,4.54,"100g / 17,000원"
989,에이리페어 크림 바디워시,셀라피,4.65,"500ml / 15,000원"
990,섹스 밤,러쉬,4.4,"200g / 12,000원"
991,자스민 바디 스크럽,사봉,4.5,"600g / 63,000원"
992,페퍼민트 퓨어 캐스틸 솝,닥터브로너스,4.48,"475ml / 20,000원"
993,브라이트사이드,러쉬,4.46,"200g / 18,000원"
994,로즈 잼,러쉬,4.46,"100g / 19,000원"
995,인터갈락틱,러쉬,4.43,"200g / 17,000원"
996,바디 밸런스 더 프리미엄 에디션,플루,4.4,"180g / 22,000원"
997,써니사이드,러쉬,4.39,"150g / 19,000원"
998,내추럴 스파 사해소금 스크럽 바디워시,벨먼,4.37,"600g / 19,900원"
999,세라마이드 아토 6.0 탑투토워시,일리윤,4.37,"500ml / 14,900원"
1000,화이트 톤업 바디 세럼 [SPF21],나인위시스,4.06,"150ml / 32,000원"
1001,꼬끄 도르 퍼퓸드 쉬머 파우더 바디 & 헤어,겔랑,4.5,"17.5ml / 123,000원"
1002,샤이닝 드레스 크림,코스노리,4.0,"50ml / 24,000원"
1003,로데오 드라이브 페이스 앤 바디 미스트,오프라,5.0,"240ml / 36,000원"
1004,보데나 렉스 스프레이,오샐런스,4.0,"120ml / 12,900원"
1005,마네킹 바디 파운데이션 [SPF22/PA++],낫포유,3.5,"100ml / 26,500원"
1006,훌라 제로 탠 라인 바디 브론저,베네피트,3.67,"147ml / 43,000원"
1007,피브완 플로라 쉬머링 오일,록시땅,3.0,"75ml / 45,000원"
1008,원더렉스,페이스인페이스,3.0,"100ml / 13,000원"
1009,어반 딜라이트 바디 파우더 [로즈],더샘,2.5,"50g / 15,000원"
1010,더 샤인 바디밤,밀키드레스,1.0,"60ml / 35,000원"
1011,테이크 어 픽쳐 잇 래스트 롱거,베네피트,3.3,"42.5g / 46,000원"
1012,쉼미 쉼미,러쉬,2.67,"30g / 12,000원"
1013,스파클링 바디쿠션,라네즈,2.0,"35g / 37,000원"
1014,핑크 판타지 레이디 에센스,디오키드스킨,0.0,"7.5g / 25,000원"
1015,바디 라바 바디 루미나이저,펜티뷰티,0.0,"90ml / 36,000원"
1016,인스턴트 선레스 셀프태닝 로션,오스트레일리안골드,0.0,"177ml / 40,000원"
1017,틴티드 셀프 태닝 바디 미스트,세포라 컬렉션,0.0,"150ml / 19,000원"
1018,뿌리는 스타킹,더유핏,0.0,"130ml / 40,000원"
1019,태닝 메이크업,애리조,0.0,"110ml / 36,000원"
1020,비너스 새틴케어 여성용 면도젤,질레트,4.44,"200ml / 7,000원"
1021,비너스 임브레이스 면도기,질레트,4.41,"1ea / 18,500원"
1022,인튜이션 내추럴 면도기,쉬크,4.29,"1ea / 13,900원"
1023,비너스 스월 면도기,질레트,4.26,"1ea / 20,900원"
1024,비너스 앤 올레이 면도기,질레트,4.34,1ea / 가격미정
1025,인튜이션 석류 여성제모기,쉬크,3.71,"1ea / 13,900원"
1026,인튜이션 아일랜드베리 제모기,쉬크,4.18,"1ea / 13,900원"
1027,인튜이션 쉐어버터 여성용 면도기,쉬크,3.94,"1ea / 10,900원"
1028,스무스 왁스,내추럴룩,3.81,"350g / 25,000원"
1029,왁싱 제모제,슈가스트립이즈,3.72,"250g / 25,900원"
1030,바디 면도기,카이,3.8,3ea / 가격미정
1031,비너스 스파 면도기,질레트,3.73,"2p / 15,200원"
1032,제모젤 클래식,뭄,3.64,"345g / 39,800원"
1033,퓨어 코마치 여성 면도기,카이,3.86,"1ea / 3,500원"
1034,201 하드왁스,바나다왁싱,4.08,"500g / 52,500원"
1035,비너스 엑스트라 스무스 면도기,질레트,4.83,1ea / 가격미정
1036,민감성 바디 제모크림,네어,3.82,"200ml / 15,900원"
1037,트윈 여성용 면도기,빅,3.92,"5ea / 1,700원"
1038,전자렌지용 왁스,왁스앤왁싱,3.91,226g / 가격미정
1039,3중날 휴대용 면도기,노브랜드,4.67,"5p / 1,680원"
1040,S19 바오밥나무오일,톤28,4.47,"100g / 11,000원"
1041,애프터올 리바이탈라이징 샴푸,컨텐트리,4.28,"300ml / 29,800원"
1042,촘촘 매직 샴푸,스킨부탁,4.32,"300ml / 25,000원"
1043,헤리티지 비오틴비타 탈모증상완화 샴푸,려,4.31,"585ml / 21,900원"
1044,탈모증상완화 샴푸 [두피강화],라보에이치,4.14,"400ml / 24,000원"
1045,블루밍 카밍 샴푸,베네자임,4.17,"500ml / 24,000원"
1046,프로틴 클레이 클리닉 샴푸팩,콤마나인,4.46,"500ml / 47,000원"
1047,퍼플 팝 샴푸,라임,4.36,"500ml / 35,000원"
1048,스칼프 딥클 샴푸,두피부,4.15,"300ml / 21,000원"
1049,3D케어시스템 클렌저 샴푸 NO.2,니옥신,4.16,"300ml / 20,000원"
1050,올바른 샴푸바 [중건성용],동구밭,4.37,"100g / 9,500원"
1051,녹차실감 샴푸 [지성용],아모스프로페셔널,4.1,"500g / 28,000원"
1052,안티 댄드러프 샴푸,세바메드,4.17,"200ml / 11,000원"
1053,녹차실감 샴푸 [중건성],아모스프로페셔널,4.13,"500g / 28,000원"
1054,살롱 플러스 클리닉 10 샴푸 [손상 모발용],미쟝센,4.12,"500ml / 12,900원"
1055,씨닉,러쉬,4.1,"55g / 18,000원"
1056,썬트리 샴푸,헤드스파7,4.12,"300ml / 22,000원"
1057,클리닉 샴푸,수아담,4.02,"400ml / 68,000원"
