,Age,type,gender,brand,Name,rating
558,32세,복합성,여,샤넬,CC 크림 [SPF50/PA+++],3
559,29세,건성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],2
560,33세,건성,여,에르보리앙,CC 레드 코렉트,5
561,28세,복합성,여,아리따움,리얼 앰플 CC 팩트 [SPF50+/PA+++],1
562,53세,건성,여,샤넬,CC 크림 [SPF50/PA+++],5
563,39세,건성,여,에르보리앙,CC 레드 코렉트,4
564,33세,복합성,여,잇코스메틱스,유어 스킨 벗 배럴 CC크림 [SPF50+],3
565,22세,건성,여,힐루시,컴플리트 에센셜 씨씨크림 [SPF50+/PA++++],4
566,23세,복합성,여,입생로랑 뷰티,탑 시크릿 CC크림 컬러 코렉터,3
567,25세,민감성,여,넘버에잇,스킨 마스터 씨씨 쿠션 [SPF50/PA+++],4
568,26세,중성,여,에뛰드,CC크림 [SPF30/PA++],3
569,35세,복합성,여,비욘드,엔젤 아쿠아 수분 CC 크림,2
570,30세,민감성,여,샤넬,CC 크림 [SPF50/PA+++],4
571,31세,지성,여,아를린,CC크림 [SPF37/PA++],5
572,47세,건성,여,입생로랑 뷰티,탑 시크릿 CC크림 컬러 코렉터,5
573,33세,민감성,여,어퓨,난코 티트리 틴티드 씨씨 크림,2
574,21세,복합성,여,힐루시,컴플리트 에센셜 씨씨크림 [SPF50+/PA++++],5
575,30세,건성,여,헤라,어반 베일 CC크림 [SPF40/PA+++],5
576,24세,복합성,여,샤넬,CC 크림 [SPF50/PA+++],4
577,27세,지성,여,바닐라코,잇 래디언트 CC 크림 [SPF30/PA++],2
578,32세,지성,여,에르보리앙,CC 레드 코렉트,5
579,27세,건성,여,힐루시,컴플리트 에센셜 씨씨크림 [SPF50+/PA++++],5
580,26세,지성,여,네이처리퍼블릭,스네일 CC 바이탈 크림 [SPF30/PA++],1
581,20세,민감성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],5
582,22세,건성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],5
583,27세,복합성,여,에르보리앙,CC 레드 코렉트,5
584,24세,지성,여,힐루시,컴플리트 에센셜 씨씨크림 [SPF50+/PA++++],5
585,31세,지성,여,숨37˚,워터-풀 씨씨쿠션 퍼펙트 피니쉬 [SPF50+/PA+++],3
586,31세,복합성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],5
587,33세,복합성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],5
588,18세,복합성,여,닥터오라클,리얼화이트 씨씨 [SPF30/PA++],3
589,21세,복합성,여,지방시 뷰티,렝뗑뽀렐 블라썸 프레시 페이스 컴팩트 크림(멀티 핑크 톤업 CC) [SPF15/PA+],5
590,45세,복합성,여,에스케이투,애트모스피어 CC 크림 [SPF50/PA+++],5
591,38세,복합성,여,숨37˚,워터-풀 씨씨쿠션 퍼펙트 피니쉬 [SPF50+/PA+++],3
592,29세,민감성,남,헤라,CC 크림 시티 디펜스 [SPF35/PA++],1
593,33세,건성,여,샤넬,CC 크림 [SPF50/PA+++],3
594,34세,복합성,여,바닐라코,잇 래디언트 씨씨 커버 [SPF30/PA++],4
